res_a_p5,res_a_p95,realra_p95,realra_p5,realrb_mean,realra_mean,realrb_std,realrb_cont,realra_cont
643.0,729.0,17112.35424054256,15048.012583145659,15974.824087903968,16076.218741510602,619.6804016270316,15974.111233976593,16076.596925104179
1039.0,1147.0,8679.394745567492,7843.7011861878045,8215.567119922745,8259.91778398131,253.4965091819412,8216.11523521089,8259.639110395077
1275.0,1395.0,8195.631100685074,7481.315267306022,7797.236367467368,7836.45576166888,216.37417628008046,7797.209062059503,7836.945986425047
1534.0,1666.0,9144.540223828224,8411.368899210602,8730.695270178807,8775.625313065979,221.64570966532895,8730.521876084262,8775.929072031999
678.0,767.0,17349.021928177273,15316.612545391366,16232.332542069309,16330.295879224572,613.5354217345156,16231.814223468511,16328.912495642056
2127.0,2282.0,7257.65876222314,6758.158819192427,6969.351376740991,7007.03663284472,150.77098284550314,6970.32113906454,7008.388808765561
966.0,1070.0,17824.858816712534,16049.982112764248,16834.46618892693,16934.567395335445,537.9365607490407,16835.749574035348,16937.687862355517
62.0,91.0,56283.51434236135,38266.09449221078,46819.71072706257,47079.11389410862,5457.8381190009395,46825.021030371325,47082.52661340848
1002.0,1109.0,16655.7797245622,15018.558021312178,15733.928225068328,15830.702165879013,492.7558237869851,15736.477629483703,15832.225822626702
665.0,753.0,19561.556994444327,17241.209227624862,18288.90658030966,18394.699228038968,698.9259566444053,18289.251914153712,18397.82827512009
956.0,1060.0,16065.082264506664,14457.637485731631,15158.28841769867,15254.593990474466,485.70656182370095,15160.178285574086,15255.979649141427
1645.0,1782.0,9943.15316142448,9170.991852892455,9499.941878083211,9554.813978620314,233.01058560191424,9499.847784479745,9555.633549240523
457.0,530.0,22280.691827690196,19154.964321613166,20583.55434059896,20709.540199733954,945.9386691027987,20584.272272472725,20711.155429861294
806.0,902.0,16549.627521851096,14757.090841153404,15554.22088705466,15648.365483834965,541.2531958763989,15555.998054828975,15648.329624889333
834.0,932.0,17134.812716010565,15304.820328208574,16121.222216864644,16218.196864210095,552.114982978808,16121.617718730995,16220.486241162314
200.0,249.0,37131.094487755974,29669.458525155766,33154.89881574803,33342.50925460213,2251.361345341753,33157.00007235453,33347.91203048728
337.0,399.0,19120.966160517397,16075.291074217474,17493.065989616884,17588.151250090625,925.1571636871753,17497.00856687435,17589.112498135335
1103.0,1216.0,15961.039025319878,14464.680095342113,15119.15745301391,15209.458673188872,451.0380515441095,15118.190878234565,15210.182952915016
447.0,519.0,19053.420241742264,16367.17067383939,17605.896805941396,17698.0147737322,815.4817175190894,17609.474261945023,17697.124212825413
1283.0,1404.0,14767.854789646144,13473.485790272378,14034.066216884064,14117.76676391241,389.2930833789849,14035.865001015447,14119.700176919669
2102.0,2256.0,8422.878049731748,7838.2184172069965,8084.593700677104,8129.88891382936,175.70668464217414,8084.79986694986,8129.705724421921
1162.0,1277.0,16159.804961377316,14683.18014641067,15320.796229113856,15415.339675567737,448.6604380043797,15324.274562824528,15416.750330577224
1061.0,1171.0,12102.243741025637,10947.41474024127,11464.989998550955,11521.517435780666,349.0830690501607,11464.693989746087,11523.15110916568
461.0,535.0,18806.177535719013,16190.446043705919,17407.817144157554,17486.855203347117,792.2977686604528,17408.454667980786,17488.071334875724
894.0,995.0,12490.297430592404,11197.726172301143,11781.236091414563,11841.796668181472,389.0852101567868,11783.333049340488,11843.671039696475
1009.0,1116.0,11794.526748995297,10647.645845704417,11161.72161816999,11218.079641614246,347.3707709991178,11162.577210756113,11217.333015129005
1162.0,1276.0,11085.97128487397,10074.052627234185,10520.772838637318,10578.020815764105,305.0901835457778,10522.524343954947,10579.6486175063
1423.0,1551.0,12805.430058800222,11738.129167554154,12205.824342988655,12271.5342129228,321.88706893045406,12206.578905905113,12271.709215916704
565.0,645.0,14752.432938504602,12872.781504491526,13744.220891139348,13807.292515414267,567.3104807586482,13745.279825958185,13809.774414839178
974.0,1079.0,11011.09527768114,9919.911666887183,10417.436001482158,10463.12942133593,329.8245025628075,10418.403052653888,10465.075318712887
1377.0,1502.0,9627.859155491184,8817.285776506587,9173.76038236371,9219.885668613011,245.79109620629566,9174.94728362828,9222.700765991356
642.0,728.0,14400.069198233752,12677.661779355618,13452.627301584396,13531.080974849823,521.6114511629104,13453.766560172824,13534.54152447982
739.0,832.0,17323.668202320026,15370.876132913216,16259.18334777338,16341.424525397548,591.1474813535351,16257.99136095973,16341.74614432763
324.0,386.0,24006.36713676174,20081.106506421347,21934.9841880041,22025.887781542744,1182.1323027942483,21933.961111357286,22031.792594426082
1052.0,1161.0,15504.185977974406,14021.045052274127,14670.857039486847,14758.283604681732,449.8322400712371,14673.079830337116,14760.732450155048
1448.0,1576.0,11286.663632721866,10359.651148247392,10762.313864460506,10822.030777177935,280.3481640992514,10761.926313687054,10822.678344948585
1651.0,1787.0,13107.198838337588,12094.016526334462,12524.568390567856,12597.200202468352,307.67640092840753,12525.545710484603,12598.563571576848
1065.0,1175.0,12719.32199888237,11505.727409235064,12042.236540501457,12110.362778755063,366.4711239818761,12043.384222353923,12110.182501277664
1104.0,1216.0,16603.329769668857,15044.995856257181,15723.603587968364,15819.841635738725,470.68422570234634,15724.935422389337,15822.674090528704
1490.0,1620.0,13747.576769094921,12628.25097492085,13110.233561029505,13185.039953054442,339.923400808587,13110.093718825856,13187.415236434626
878.0,978.0,13419.728092146426,12022.934274427125,12643.455249081497,12716.082495766916,421.18316708253934,12645.882630905182,12716.859788081796
1567.0,1699.0,12736.410153545961,11727.820771792905,12152.318454110484,12228.992901617083,306.0153488536247,12154.491701914078,12227.93229956105
1083.0,1195.0,11842.284653259594,10724.027089456446,11222.034081429782,11280.007273923795,337.5927147119688,11222.108813155346,11281.331997062814
564.0,645.0,22480.720748037857,19631.449906183527,20916.75981128855,21047.04394728628,870.6100248438449,20917.16641905869,21045.544084644345
1272.0,1393.0,11269.655982632949,10283.912744978135,10721.466032056733,10775.949799912385,298.07400859631537,10722.008083298984,10777.486940409592
830.0,928.0,18589.69126535171,16597.17206219485,17490.48177404112,17591.2526704127,602.5105087368854,17490.70112607757,17593.891665037318
943.0,1047.0,10873.31882173735,9783.901133879448,10273.932743815005,10325.359814350228,331.1476195798441,10273.418248078453,10327.413714485845
1146.0,1260.0,15089.16234895445,13699.218218202615,14308.909858937503,14391.272549994932,420.68739443773995,14308.917218674747,14392.42111333226
1309.0,1431.0,11457.028238125344,10464.712871419579,10893.664309155169,10958.289521937633,298.64708807345704,10895.1623421845,10958.015824441092
466.0,540.0,25201.030136552276,21690.179439162566,23280.60319333352,23421.905382589885,1055.989199896721,23287.35737539333,23425.74059273438
1514.0,1644.0,9666.654131857558,8888.004937220052,9232.231230036006,9276.118664942851,235.27987577340303,9233.23052079177,9278.642557551822
1372.0,1497.0,14322.251106387253,13110.339718509445,13634.283090622377,13714.33679523462,366.51796594869546,13636.44773013688,13714.94482865039
1345.0,1469.0,13399.168098948934,12251.540398860894,12749.214316283322,12823.675289618974,346.2753156322967,12750.482478824644,12823.672232079873
710.0,800.0,12159.08910112063,10768.093908471992,11398.913016283572,11459.33112089757,420.63747950994673,11399.204859855094,11462.905344234814
1253.0,1372.0,12284.662596069064,11201.040375301736,11680.31681083364,11740.507478788013,327.34886039844804,11680.623573419005,11741.430848520911
1022.0,1131.0,9107.150154219258,8222.07193707243,8614.178166780435,8663.006407039493,265.77693957352955,8617.184255972417,8664.780324354246
1181.0,1298.0,12485.640880576222,11349.964199746431,11863.495330999236,11914.973235270738,341.60272156864886,11865.288818363806,11915.687595172663
768.0,862.0,15122.646538402387,13441.585138508053,14221.291449772096,14279.034794648218,505.14605681758917,14224.456899294646,14280.284613531969
1009.0,1117.0,8051.609066707799,7264.180221609696,7609.881217067169,7656.387138552873,236.82538222265572,7611.069966619257,7655.782105148233
1404.0,1530.0,9486.104593441885,8694.942962836962,9030.192727828811,9089.95682089248,238.6761354310491,9030.233617283433,9090.866331656069
1400.0,1526.0,7667.278876309973,7018.997446931667,7309.197214379577,7341.757044138593,195.7755208970886,7309.9273077308335,7342.991138896775
730.0,822.0,12284.76381369499,10892.778736497467,11521.39926889249,11583.37070078285,419.8761111250739,11520.794739997235,11584.69614448495
1447.0,1574.0,9316.615072249599,8550.937876157595,8875.527691385012,8930.825349485172,231.74716638529412,8877.688101806703,8932.05391525014
6.0,17.0,177312.36328064694,60778.938411625226,115092.15693595822,115863.5259048253,35228.17104681777,115147.3802024627,115759.0437575578
870.0,970.0,12792.21617567891,11453.647185383397,12065.62433952189,12118.846133512869,404.1603919676697,12066.048866617246,12119.967338119443
510.0,587.0,13903.682655675704,12042.489149999681,12899.690315486874,12963.13321813394,560.3350056817023,12899.342940188812,12963.542434139614
1254.0,1374.0,7880.822490632238,7183.470950831754,7491.929068781555,7529.772985397309,210.11453781706703,7492.444446296058,7530.691349143613
1281.0,1402.0,13886.74269950031,12669.173374345422,13199.576507760925,13274.270889634647,365.7900008110539,13199.934474102241,13273.558190562791
724.0,816.0,18376.724715899392,16288.67946838812,17233.00582295704,17325.989878158503,633.844477412612,17237.519216909885,17330.391000140877
408.0,478.0,24824.80858219661,21165.51639790076,22852.89526493263,22980.955965516532,1103.2536323223758,22854.21877336005,22986.044197909418
953.0,1057.0,15389.554902611724,13844.082991104999,14531.144387981229,14612.45381950191,465.41171436685676,14534.548644077491,14613.508881090585
822.0,920.0,17755.568245996223,15846.497260066986,16706.669245112458,16795.498999370946,576.0028655583861,16707.762679009415,16802.237024604012
573.0,654.0,22184.4554662034,19382.58073737243,20656.103398020707,20780.010181936996,851.1583074385976,20654.15239537531,20778.909049589205
757.0,850.0,18848.430557023585,16744.705053020705,17692.44731368313,17790.5823643958,634.8356434878397,17691.445750038874,17791.556507155427
357.0,421.0,16872.573268081098,14236.538197030197,15475.468853255672,15542.869095089101,798.1798258344531,15476.372598287144,15543.224403351396
1098.0,1210.0,15052.468565714347,13639.268936330205,14263.11920179772,14342.223235507774,426.1175994127404,14262.645927768734,14343.319350090278
1737.0,1876.0,7409.011178705147,6850.160257416004,7092.825779715328,7128.621948691168,169.43580158504952,7093.1336330107015,7128.748090167842
1495.0,1624.0,12734.182153777136,11699.295919836897,12140.569799568779,12213.299123011593,312.8003558297893,12142.218851139378,12213.337668307273
807.0,903.0,16186.135278294629,14433.277605842857,15224.47345539501,15304.910162368416,530.3847078659506,15224.504993499731,15309.31370693317
885.0,986.0,9395.371865897881,8423.98918924516,8854.071006633101,8905.202722535652,293.2043827550931,8855.964540825722,8905.518763835127
757.0,850.0,18018.330901955313,16013.985233739035,16914.552493132745,17010.607730730728,605.2864541344293,16915.058543628456,17009.51152586898
217.0,268.0,33424.532158792106,26928.97782338112,29973.894100827285,30136.792772157136,1957.0619905627848,29978.048228130017,30152.29042377676
1789.0,1931.0,8579.495978811507,7942.308587359811,8213.374415151455,8259.281575871777,194.03412622947772,8213.47007944779,8260.748345781727
1205.9499999999998,1323.0,11808.828895297156,10743.88824150929,11224.787318721312,11273.303698723827,321.21367766776535,11226.36240965738,11275.777488028714
1195.0,1311.0,11071.21857746134,10075.980170263229,10526.53325018641,10572.959559611034,300.666083160514,10528.41620156649,10574.643199670338
1056.0,1166.0,11583.82759328319,10480.149652291551,10976.203010605732,11029.14947153224,334.150021433276,10976.443093575981,11029.570449534052
869.0,968.0,12939.002275447829,11588.921731221299,12208.689902746482,12261.2478495609,408.26958534167767,12210.259034083272,12263.724853499185
1227.0,1345.0,11371.190297400373,10361.631273480025,10825.29388557766,10865.632011746517,306.0842833299135,10826.463564947715,10866.495208934326
845.0,943.0,11460.6891417465,10252.118310335389,10786.549730043116,10854.417590015863,365.97517142656625,10788.140934367953,10853.874333407768
862.0,961.0,13527.426627050421,12112.652771532654,12756.571696560666,12814.94979930132,428.8324950622097,12759.01330667381,12815.237420006584
661.0,748.0,15076.34479192655,13292.140818967238,14103.52927522325,14175.281670243969,538.081573484635,14102.97144522256,14173.409376554471
863.0,963.0,12300.174166603447,11006.328750827319,11590.316051073198,11650.351127856375,388.9447448734503,11591.664881450457,11653.088373795948
404.0,473.0,14929.633465926985,12722.097566093304,13733.672367355817,13817.792328060066,665.5324550934449,13734.710205754262,13822.001738206898
684.0,772.0,15970.03405778843,14100.29921413921,14955.718030836313,15025.360293742528,564.2678955734056,14959.832390132373,15027.107557121724
1246.0,1365.0,8352.405328139399,7613.212551604493,7944.184261173341,7982.011026016324,223.3148326068116,7944.345787900238,7982.210023045644
1034.0,1143.0,15030.925838881616,13583.765646729922,14227.296235938857,14305.242328063323,438.28461408482633,14229.041394563663,14307.520819712006
608.0,692.0,15670.75519507213,13742.947491400946,14631.575600281141,14704.881544996104,581.666576341759,14633.169771750145,14703.096218461507
86.0,120.0,45778.76547011899,32813.44528922117,38999.27668943942,39192.25495082442,3899.577413349744,38997.50489777715,39200.919896484025
430.0,501.0,17747.853606600205,15196.61277202194,16381.325000828385,16459.196809186607,769.6755655932673,16380.55969931175,16462.288756975533
381.0,448.0,22905.757297204324,19432.96003727866,21017.619510483808,21148.95931256223,1054.016804710469,21023.451938192025,21150.892610791925
698.0,788.0,12891.147673973823,11402.965416538156,12075.572909798077,12143.690569720404,450.99175986469015,12075.391739520534,12145.310321731378
524.0,602.0,17671.34259425099,15343.506184685024,16410.0036585924,16500.81361916023,702.6501927332271,16410.27915156777,16500.551423528945
488.0,564.0,18263.49336528929,15782.842882372872,16930.92927077646,17016.933436593114,748.9651222193185,16928.828613567024,17022.41120656885
76.0,108.0,49267.03430353637,34726.531344738374,41622.956425881785,41848.208762265785,4411.565640345799,41636.65120837394,41851.56522958332
1181.0,1297.0,13819.057252945118,12562.805323613415,13117.563594084568,13187.147126246815,379.7139377845291,13117.02432341058,13188.347454286912
1430.0,1557.0,11751.77819855963,10776.238030322063,11195.198525497537,11263.585196140868,294.1291412786869,11197.436712910498,11263.0542019161
810.0,906.0,15805.482948353232,14098.459945606875,14873.893099504847,14949.653596190336,517.8689015592472,14873.101833661975,14951.636287560397
910.0,1012.0,14595.673323058605,13095.691227675963,13758.227585505914,13842.238855451698,449.9860503460917,13761.265290479934,13842.437836147647
1120.0,1233.0,14106.289709677585,12793.618532342181,13370.122596299267,13446.526898410611,395.76842860237787,13369.535286553551,13447.075732128153
759.0,852.0,17841.432886976698,15863.211459315286,16762.189272608975,16848.820069154615,601.966475668458,16761.558551288865,16852.39263219586
676.0,764.0,19692.877339257913,17368.30376434373,18430.235069322654,18525.074338989238,698.2498698199806,18430.69116912076,18530.51503537548
1301.0,1422.0,14358.999962293005,13115.332130217517,13660.102447278561,13734.816368244105,375.744808597572,13661.074763142193,13735.670227296363
1169.0,1285.0,15330.020023249712,13929.726421734806,14546.334672107349,14626.815702215295,423.1901049620433,14548.728608476455,14629.185106638886
887.0,988.0,17378.185291638125,15571.699536329552,16374.121315341255,16469.251545952815,544.1940935429442,16375.899207457574,16473.281942344114
1094.0,1205.0,10379.3959155271,9411.958530234324,9842.314353298687,9892.868662532921,296.2663550254416,9842.252953530722,9894.872150206576
1668.0,1806.0,10884.51176850347,10042.621603161038,10403.702005953552,10461.438094776942,253.75395478668491,10405.015100810211,10462.140023511389
1774.0,1915.0,11473.951369791232,10610.989126831017,10971.285456795593,11039.200801917294,260.33470057390855,10972.41233585498,11039.420537608847
1298.0,1418.0,11830.57150219265,10808.599168983206,11253.42648153153,11318.002941303448,310.4298210242353,11255.18668966816,11317.88853096436
569.0,651.0,15259.991211357363,13323.407063874309,14217.621450038014,14286.218013054104,584.3985485314699,14218.392483537451,14288.60484905434
1909.0,2055.0,10516.631746590601,9752.007417690902,10066.320793411718,10132.116820765756,229.82190221825812,10068.107314921725,10132.47618852981
1757.0,1897.0,10368.687493889918,9586.220924689214,9907.464026915592,9976.000453271787,236.401706291318,9908.758662160672,9974.661744770074
1859.0,2003.0,8960.093624933357,8304.474676308519,8588.999183554852,8631.260364930315,199.06539090679627,8589.679343740663,8631.874851286384
1072.0,1182.0,10030.733688426366,9080.297988089731,9508.773521389236,9552.698672085493,287.3173275514142,9509.301836755887,9554.227676461867
936.0,1040.0,10936.439104668067,9839.248595036148,10332.780348136099,10386.251141151113,333.2040132725115,10334.317682964012,10386.274707021528
532.0,610.0,14906.024931057093,12963.523682295936,13847.04493129651,13925.675214751012,589.1237224286232,13844.309262226068,13926.198404911456
