id,d_emp_p95,d_emp_p5,d_emp_mean,d_real_wage_ratio_p95,d_real_wage_ratio_p5,d_real_wage_ratio_mean,real_wb_mean,real_wa_mean
1,0.0,-1.0,-0.15,0.0,0.0,0.0,1.0,1.0
2,1.0,-3.05,-0.89,0.0,0.0,0.0,1.2589422063303237,1.2589422063303237
3,-2.0,-10.0,-5.86,0.0,0.0,0.0,1.4703945020258624,1.4703945020258624
4,-24.950000000000003,-48.0,-35.12,0.0,0.0,0.0,1.8201591188342592,1.8201591188342592
5,0.0,-2.0,-0.83,0.0,0.0,0.0,1.1565022401172456,1.1565022401172456
6,0.0,-1.0,-0.2,0.0,0.0,0.0,0.8620468653485273,0.8620468653485273
7,0.04999999999999716,-4.0,-1.54,0.0,0.0,0.0,1.1541521447808487,1.1541521447808487
8,0.0,-4.0,-1.4,0.0,0.0,0.0,1.1920985083053066,1.1920985083053066
9,0.0,-2.0,-0.58,0.0,0.0,0.0,1.035791418775081,1.035791418775081
10,0.0,-8.0,-3.38,0.0,0.0,0.0,1.312567584309423,1.312567584309423
11,0.04999999999999716,-5.0,-2.25,0.0,0.0,0.0,1.297652719250906,1.297652719250906
12,0.0,-7.05,-3.28,0.0,0.0,0.0,1.3375046085518578,1.3375046085518578
13,0.04999999999999716,-4.0,-1.73,0.0,0.0,0.0,1.2156391761405276,1.2156391761405276
14,0.0,-6.0,-2.6,0.0,0.0,0.0,1.2781048799238524,1.2781048799238524
15,0.0,-1.0,-0.18,0.0,0.0,0.0,0.8962524449789261,0.8962524449789261
16,0.0,0.0,-0.04,0.0,0.0,0.0,0.7688242901129491,0.7688242901129491
17,-1.0,-9.049999999999999,-4.98,0.0,0.0,0.0,1.3469637489956903,1.3469637489956903
18,0.0,-2.05,-0.53,0.0,0.0,0.0,1.0473930584205644,1.0473930584205644
19,-1.0,-8.0,-4.13,0.0,0.0,0.0,1.3258998490525074,1.3258998490525074
20,-10.950000000000003,-26.0,-17.38,0.0,0.0,0.0,1.6452630678555245,1.6452630678555245
21,0.0,-11.0,-5.82,0.0,0.0,0.0,1.3736027527350467,1.3736027527350467
22,-6.0,-18.0,-12.61,0.0,0.0,0.0,1.5961238351864688,1.5961238351864688
23,0.0,-4.0,-1.23,0.0,0.0,0.0,1.2195545187121544,1.2195545187121544
24,0.0,-3.0,-0.9,0.0,0.0,0.0,1.1295344602185073,1.1295344602185073
25,0.0,-1.0,-0.27,0.0,0.0,0.0,0.9978170403603493,0.9978170403603493
26,0.04999999999999716,-4.0,-1.62,0.0,0.0,0.0,1.2117643232397775,1.2117643232397775
27,-13.0,-30.0,-21.39,0.0,0.0,0.0,1.6589157707761422,1.6589157707761422
28,-1.0,-8.0,-4.14,0.0,0.0,0.0,1.4225961737615682,1.4225961737615682
29,0.0,-2.0,-0.56,0.0,0.0,0.0,1.0960579342840224,1.0960579342840224
30,0.0,-4.0,-1.53,0.0,0.0,0.0,1.235569793104177,1.235569793104177
31,0.0,-1.0499999999999998,-0.33,0.0,0.0,0.0,0.9672240872878791,0.9672240872878791
32,0.0,-6.0,-2.12,0.0,0.0,0.0,1.248330416360108,1.248330416360108
33,-4.950000000000003,-14.05,-9.6,0.0,0.0,0.0,1.4991086963681366,1.4991086963681366
34,-1.0,-9.0,-4.78,0.0,0.0,0.0,1.3694882087499558,1.3694882087499558
35,0.0,-3.0,-0.86,0.0,0.0,0.0,1.093763286419315,1.093763286419315
36,-12.0,-25.0,-18.3,0.0,0.0,0.0,1.5937434320442532,1.5937434320442532
37,0.0,-1.0,-0.22,0.0,0.0,0.0,0.8740515423273458,0.8740515423273458
38,-74.95,-106.05,-90.05,0.0,0.0,0.0,1.9374522443659996,1.9374522443659996
39,0.0,-6.05,-2.83,0.0,0.0,0.0,1.258414096858453,1.258414096858453
40,0.0,-5.05,-2.5,0.0,0.0,0.0,1.2651653514784622,1.2651653514784622
41,0.0,-3.0,-1.15,0.0,0.0,0.0,1.1462404391149277,1.1462404391149277
42,0.0,-4.0,-1.33,0.0,0.0,0.0,1.1826986585788926,1.1826986585788926
43,-3.950000000000003,-14.05,-8.87,0.0,0.0,0.0,1.4737468851217579,1.4737468851217579
44,0.0,-4.0,-1.32,0.0,0.0,0.0,1.169625063373339,1.169625063373339
45,-1.0,-8.05,-4.29,0.0,0.0,0.0,1.32713675729038,1.32713675729038
46,0.0,-1.0,-0.3,0.0,0.0,0.0,1.0126355515537169,1.0126355515537169
47,0.0,-5.0,-2.26,0.0,0.0,0.0,1.2115371282788023,1.2115371282788023
48,0.04999999999999716,-4.05,-1.38,0.0,0.0,0.0,1.155185259447052,1.155185259447052
49,-0.9500000000000028,-8.0,-4.18,0.0,0.0,0.0,1.3267030220373888,1.3267030220373888
50,1.0,-3.0,-0.88,0.0,0.0,0.0,1.1305929077642956,1.1305929077642956
51,0.0,-5.0,-2.15,0.0,0.0,0.0,1.2144555888607373,1.2144555888607373
52,-1.9500000000000028,-10.0,-6.02,0.0,0.0,0.0,1.413634603193454,1.413634603193454
53,0.0,-1.0,-0.32,0.0,0.0,0.0,1.013442511492112,1.013442511492112
54,0.0,-5.0,-2.45,0.0,0.0,0.0,1.2995750582492969,1.2995750582492969
55,0.0,-1.0499999999999998,-0.28,0.0,0.0,0.0,0.9893075848859421,0.9893075848859421
56,-1.9500000000000028,-12.0,-6.43,0.0,0.0,0.0,1.4631124137655798,1.4631124137655798
57,0.04999999999999716,-5.0,-2.3,0.0,0.0,0.0,1.3054950233911127,1.3054950233911127
58,-8.0,-24.0,-15.66,0.0,0.0,0.0,1.7372507351454354,1.7372507351454354
59,-1.0,-7.0,-3.98,0.0,0.0,0.0,1.3843969231978792,1.3843969231978792
60,-45.95,-75.1,-58.9,0.0,0.0,0.0,2.142980682950722,2.142980682950722
61,-17.0,-34.0,-26.29,0.0,0.0,0.0,1.7698424116828948,1.7698424116828948
62,-0.9500000000000028,-8.0,-4.24,0.0,0.0,0.0,1.403370312034905,1.403370312034905
63,0.0,-3.05,-1.2,0.0,0.0,0.0,1.1500502042972156,1.1500502042972156
64,-1.0,-8.0,-4.2,0.0,0.0,0.0,1.410380021625369,1.410380021625369
65,-16.0,-36.05,-26.45,0.0,0.0,0.0,1.908093054651588,1.908093054651588
66,0.0,-7.0,-3.19,0.0,0.0,0.0,1.446743353538861,1.446743353538861
67,-0.9500000000000028,-9.0,-4.51,0.0,0.0,0.0,1.3655402578715052,1.3655402578715052
68,1.0,-2.0,-0.59,0.0,0.0,0.0,1.0762073773586887,1.0762073773586887
69,0.0,-2.0,-0.38,0.0,0.0,0.0,1.0166017896990032,1.0166017896990032
70,0.0,-3.0,-1.16,0.0,0.0,0.0,1.128710365679848,1.128710365679848
71,0.0,-3.05,-1.04,0.0,0.0,0.0,1.0883498692296216,1.0883498692296216
72,-1.0,-9.0,-5.15,0.0,0.0,0.0,1.3558655442261551,1.3558655442261551
73,0.0,-7.05,-3.34,0.0,0.0,0.0,1.291333491274373,1.291333491274373
74,0.0,-1.0,-0.13,0.0,0.0,0.0,0.9460156117914454,0.9460156117914454
75,0.04999999999999716,-4.05,-1.99,0.0,0.0,0.0,1.2286150209954048,1.2286150209954048
76,0.04999999999999716,-6.0,-2.83,0.0,0.0,0.0,1.4118491263218873,1.4118491263218873
77,0.0,-5.0,-2.17,0.0,0.0,0.0,1.2250074435870928,1.2250074435870928
78,0.0,-1.0,-0.12,0.0,0.0,0.0,0.8811572032229017,0.8811572032229017
79,1.0,-2.0,-0.46,0.0,0.0,0.0,1.1678575425691091,1.1678575425691091
80,0.04999999999999716,-4.05,-1.8,0.0,0.0,0.0,1.2102135427888776,1.2102135427888776
81,0.0,-3.0,-0.79,0.0,0.0,0.0,1.0939479814062518,1.0939479814062518
82,0.0,-3.0,-1.2,0.0,0.0,0.0,1.220494199771234,1.220494199771234
83,0.0,-7.0,-3.87,0.0,0.0,0.0,1.371511650429908,1.371511650429908
84,0.04999999999999716,-3.0,-1.25,0.0,0.0,0.0,1.1963508028680818,1.1963508028680818
85,1.0,-3.0,-1.07,0.0,0.0,0.0,1.169283028378284,1.169283028378284
86,-6.950000000000003,-21.0,-13.99,0.0,0.0,0.0,1.6179174097857298,1.6179174097857298
87,1.0,-3.0,-0.84,0.0,0.0,0.0,1.1486501634730362,1.1486501634730362
88,0.0,-6.0,-2.82,0.0,0.0,0.0,1.359952742326669,1.359952742326669
89,1.0,-3.0,-0.85,0.0,0.0,0.0,1.132036863514234,1.132036863514234
90,-7.0,-20.0,-13.58,0.0,0.0,0.0,1.5965159893370808,1.5965159893370808
91,0.04999999999999716,-6.05,-3.39,0.0,0.0,0.0,1.3327308527740869,1.3327308527740869
92,0.0,-5.0,-2.3,0.0,0.0,0.0,1.3696054324214082,1.3696054324214082
93,-1.0,-10.0,-5.69,0.0,0.0,0.0,1.46149586040281,1.46149586040281
94,0.0,-3.0,-1.3,0.0,0.0,0.0,1.2522585838740417,1.2522585838740417
95,-2.0,-10.05,-6.35,0.0,0.0,0.0,1.4004865524206207,1.4004865524206207
96,0.0,-5.0,-2.65,0.0,0.0,0.0,1.3227424307851825,1.3227424307851825
97,0.0,-6.0,-2.62,0.0,0.0,0.0,1.3123833808432572,1.3123833808432572
98,-2.0,-10.0,-5.9,0.0,0.0,0.0,1.4289301496711817,1.4289301496711817
99,0.0,-5.0,-2.48,0.0,0.0,0.0,1.3167092876239255,1.3167092876239255
100,0.0,-8.0,-3.19,0.0,0.0,0.0,1.367054713006664,1.367054713006664
101,0.0,-4.0,-1.65,0.0,0.0,0.0,1.2512563392333405,1.2512563392333405
