ventile_id,simulation_id,real_rb_mean,real_ra_mean,res_b_mean,res_a_mean,dist_ij_maximum,dist_ij_minimum
1,1,277.71263478035627,278.5199824590468,1632.398148148148,1633.6851851851852,3.2207496030095855,0.0
2,1,247.80941441361205,248.65925934083546,1667.9444444444443,1669.0277777777778,4.209577041627323,3.2207496030095855
3,1,248.73512977156201,249.594920775498,1429.4259259259259,1430.1666666666667,5.273829034979965,4.209577041627323
4,1,226.5820911449204,227.492337963689,1410.5833333333333,1412.388888888889,6.2193607634696795,5.273829034979965
5,1,244.95230732059775,245.63019265053555,1238.5555555555557,1238.388888888889,7.099010562158709,6.2193607634696795
6,1,239.96183677506775,240.70535317805866,1185.8148148148148,1185.7407407407406,8.009865765886136,7.099010562158709
7,1,231.5299442394233,232.23322229103456,1215.1296296296296,1215.5555555555557,9.067303845096996,8.009865765886136
8,1,233.50646541785045,233.922897225697,1076.212962962963,1076.037037037037,10.04996750303151,9.067303845096996
9,1,224.44215322155483,225.18500805192605,1077.8333333333333,1077.9722222222222,10.757118479298125,10.04996750303151
10,1,220.97598983862565,220.90684304547563,1101.962962962963,1100.888888888889,11.497848880095894,10.757118479298125
11,1,212.9919453038883,213.49357123020835,1026.5925925925926,1026.888888888889,12.109091001333718,11.497848880095894
12,1,204.66338855288973,204.8813125608697,1128.861111111111,1128.0277777777778,12.807556292781596,12.109091001333718
13,1,209.8280696790864,209.96853794582455,983.2870370370371,982.4722222222222,13.534002919449897,12.807556292781596
14,1,220.03998299041632,220.32358952667434,935.9722222222222,935.6388888888889,14.213223355492133,13.534002919449897
15,1,205.03175786380018,205.08115763259175,906.675925925926,906.0185185185185,14.990022927080933,14.213223355492133
16,1,210.45216451874825,210.61547503959687,858.8518518518518,859.2314814814815,15.857134762354208,14.990022927080933
17,1,205.25287084896843,205.3921225150194,851.4444444444445,850.7592592592592,16.73930680095249,15.857134762354208
18,1,186.10488880407388,186.20652692014443,1016.5092592592592,1016.5092592592592,18.185193908963573,16.73930680095249
19,1,169.53055297770737,169.7407499095645,921.0555555555555,921.0,20.03230371924933,18.185193908963573
