j,emp_change_p5,emp_change_p95,emp_change_mean
36005000200,-.23258877,-.10113239,-.15172672
36005000400,-1.3606415,-1.0028419,-1.1792145
36005001600,-6.5137329,-5.7588501,-6.1601257
36005001900,-35.629517,-33.700928,-34.734619
36005002000,-.89694214,-.61476898,-.73573685
36005002300,-.19245052,-.086095333,-.14180183
36005002400,-1.5082474,-1.1415329,-1.2943153
36005002500,-1.8867493,-1.4515991,-1.6691513
36005002701,-.59658623,-.38421822,-.47524643
36005002702,-3.4416199,-2.8956757,-3.2039795
36005002800,-2.6804047,-2.236412,-2.4688339
36005003100,-3.7062531,-3.1016388,-3.3941956
36005003300,-1.8889923,-1.3450012,-1.5967712
36005003500,-2.9555359,-2.3714066,-2.6836548
36005003700,-.21139526,-.11071682,-.16104507
36005003800,-.060417175,-.010070384,-.030208588
36005003900,-5.1203461,-4.3897247,-4.7073669
36005004001,-.59288788,-.34460449,-.46111298
36005004100,-4.5453796,-3.8413696,-4.2236481
36005004200,-17.803955,-16.41095,-17.12262
36005004300,-6.1618958,-5.402771,-5.7898865
36005004400,-13.799988,-12.677307,-13.162415
36005004600,-1.6792374,-1.3061485,-1.5026932
36005004800,-1.0046043,-.67643356,-.82782745
36005005001,-.35372734,-.20210934,-.2879858
36005005002,-1.76194,-1.2808304,-1.5187988
36005005100,-22.977051,-21.456177,-22.243652
36005005200,-4.8669128,-4.1120148,-4.4793854
36005005300,-.6052475,-.37517548,-.49021721
36005005400,-1.8560791,-1.4097366,-1.6025238
36005005600,-.32868195,-.16181326,-.23263168
36005005902,-2.2481461,-1.7955017,-2.0318146
36005006000,-10.395966,-9.400177,-9.9327393
36005006100,-5.075592,-4.3393707,-4.8184052
36005006200,-.92314529,-.6306572,-.75681686
36005006300,-19.312012,-17.658875,-18.492798
36005006400,-.17153454,-.070621014,-.12106466
36005006500,-94.42041,-91.151855,-92.862793
36005006700,-3.0427856,-2.4441681,-2.7108917
36005006800,-2.3261032,-1.8417206,-2.0890198
36005006900,-1.4261246,-1.0495491,-1.275547
36005007000,-1.4530182,-1.0580521,-1.2454948
36005007100,-9.7612305,-8.7298584,-9.2728577
36005007200,-1.4104996,-1.0401039,-1.2479935
36005007300,-4.4717712,-3.8438416,-4.1200867
36005007400,-.37897301,-.20210838,-.28295135
36005007500,-2.1113129,-1.6889343,-1.9102631
36005007600,-1.3713455,-.96144485,-1.1587143
36005007700,-4.4655151,-3.8327332,-4.1891937
36005007800,-1.0695724,-.76401138,-.91679382
36005007900,-2.270813,-1.828537,-2.0396423
36005008300,-6.5293579,-5.7799683,-6.1975403
36005008400,-.37058258,-.18784332,-.26402187
36005008500,-3.03479,-2.4777222,-2.7286224
36005008600,-.31390762,-.16200542,-.23289585
36005008700,-7.5203857,-6.6362915,-7.0030212
36005008900,-2.9485931,-2.4871292,-2.6878052
36005009000,-16.300598,-14.994263,-15.683289
36005009200,-4.6728363,-4.0126648,-4.3296356
36005009300,-63.75293,-61.653564,-62.748291
36005009600,-26.796143,-24.818726,-25.845093
36005009800,-4.9623718,-4.2671661,-4.5897827
36005011000,-1.3291168,-.97116089,-1.1399536
36005011502,-4.5991516,-4.06633,-4.3678894
36005011700,-28.806885,-27.095947,-27.94873
36005011800,-3.3845215,-2.8197021,-3.0367737
36005011900,-5.4532471,-4.6388245,-5.0256805
36005012101,-.90267563,-.6016922,-.73209763
36005012102,-.58274078,-.36673355,-.47225571
36005012300,-1.2141495,-.9131546,-1.0636597
36005012500,-1.0320358,-.73641586,-.86163712
36005012701,-5.5748596,-4.7864838,-5.1829987
36005012901,-3.5621338,-2.9248657,-3.3015137
36005013000,-.18786716,-.086313725,-.13201141
36005013100,-2.3544617,-1.8523788,-2.073143
36005013200,-3.2649994,-2.7563019,-3.0055237
36005013300,-2.3039474,-1.7769394,-2.0680237
36005013500,-.19568348,-.080271721,-.1304512
36005013800,-.68232346,-.42958641,-.54079247
36005014100,-2.1084824,-1.6113663,-1.8472672
36005014300,-.8885498,-.637537,-.77306747
36005014400,-1.4140472,-1.0375938,-1.2461739
36005014500,-4.5689545,-3.8867035,-4.1777954
36005014701,-1.4323883,-1.0919609,-1.2620201
36005014702,-1.2528954,-.87710953,-1.0323639
36005014900,-15.345215,-14.014709,-14.732361
36005015100,-1.1599541,-.82843399,-1.0040932
36005015200,-3.3321838,-2.7531281,-3.0555878
36005015300,-1.014801,-.70486069,-.84986877
36005015500,-14.947815,-13.63269,-14.187683
36005015700,-3.3825684,-2.7837219,-3.1007843
36005015800,-2.9302979,-2.4056396,-2.639801
36005015900,-6.8799744,-6.1314697,-6.4857788
36005016000,-1.3038559,-.99444199,-1.1365585
36005016100,-6.7521362,-5.8838196,-6.2855225
36005016200,-3.1572571,-2.5463486,-2.8723755
36005016400,-2.8592987,-2.3712463,-2.6049042
36005016500,-6.3146667,-5.500885,-5.8630981
36005016600,-2.7490692,-2.2176895,-2.4682236
36005016700,-4.1973877,-3.5174408,-3.8225708
36005016900,-2.1101456,-1.6612396,-1.8757477
36005017300,-1.5882797,-1.201149,-1.3971634
36005017500,-1.8186569,-1.4128799,-1.613266
36005017701,-5.4561768,-4.6947784,-5.005127
36005017702,-1.2422562,-.95680237,-1.1020317
