i,rent_change_p5,rent_change_p95,rent_change_mean
36005000100,.63966441,.64344299,.64166474
36005000200,.52814412,.53158367,.52972287
36005000400,.50815052,.5114305,.50965887
36005001600,.51854247,.52194667,.52013654
36005001900,.59682012,.60016263,.598243
36005002000,.54464829,.54795671,.54621834
36005002300,.60412669,.60732979,.60549295
36005002400,.54800642,.55182618,.54995644
36005002500,.60708892,.61030316,.60845006
36005002701,.59232277,.59554219,.59368062
36005002702,.63054514,.63379693,.63195997
36005002800,.58557177,.58905256,.58735973
36005003100,.61497331,.61833614,.6164813
36005003300,.59214532,.59542471,.59362841
36005003500,.61185551,.615192,.6133213
36005003700,.57440746,.57764494,.57583642
36005003800,.52487326,.52829218,.52645308
36005003900,.60709798,.61031079,.60851932
36005004001,.49626929,.4995231,.49779123
36005004100,.59593594,.59912312,.59732264
36005004200,.55387098,.55729234,.55551469
36005004300,.60211253,.60531104,.60348356
36005004400,.50834131,.51163679,.50995886
36005004600,.45588183,.45904553,.4573974
36005004800,.51042557,.51387882,.51217592
36005005001,.48890314,.49232993,.49064073
36005005002,.54110682,.54480278,.54296494
36005005100,.53216457,.53537202,.53365242
36005005200,.46749014,.47110587,.46925932
36005005300,.44646943,.44968522,.44803226
36005005400,.51876068,.52237749,.52055895
36005005600,.59846044,.60244101,.60050154
36005005902,.51364613,.51691163,.51521373
36005006000,.4445377,.44772571,.44603837
36005006100,.59589309,.59919345,.59739423
36005006200,.56284499,.56630778,.56458598
36005006300,.58147407,.58474553,.58300364
36005006400,.55303812,.55646211,.55472952
36005006500,.62011766,.62337947,.62160063
36005006700,.58839536,.59162974,.58981782
36005006800,.55964017,.56309831,.5613789
36005006900,.60275972,.60604942,.60428548
36005007000,.52622879,.52952206,.52778864
36005007100,.61226803,.61563295,.61376214
36005007200,.51589632,.51921487,.51748395
36005007300,.58854532,.59186018,.59000587
36005007400,.52401853,.52748871,.52566308
36005007500,.58211887,.58543909,.58362114
36005007600,.57530749,.57871658,.57700497
36005007700,.59277725,.59610242,.59430313
36005007800,.49031317,.49360526,.49182591
36005007900,.5741834,.57748914,.57570714
36005008300,.57257307,.57587731,.57407486
36005008400,.55720067,.56070745,.55893052
36005008500,.51902854,.5223965,.52070045
36005008600,.55068934,.55421484,.55241597
36005008700,.42332339,.42645603,.42483786
36005008900,.39105773,.39412805,.39258155
36005009000,.58545077,.58958387,.58751547
36005009200,.6695388,.6732924,.67149222
36005009300,.45035318,.45414025,.45236498
36005009600,.55291849,.55645978,.55472589
36005009800,.61061496,.61433953,.61242384
36005011000,.52929759,.53291833,.53115237
36005011502,.44525552,.44870198,.44694871
36005011700,.49574757,.49986517,.49786961
36005011800,.50876856,.51240838,.51051897
36005011900,.55624783,.55957496,.55785018
36005012101,.53725052,.54058397,.53886855
36005012102,.57522511,.57867181,.57693303
36005012300,.54171938,.54511166,.54336023
36005012500,.56392801,.56733364,.56554687
36005012701,.60244429,.60592222,.60412192
36005012901,.56438297,.56771278,.56592989
36005013000,.43050626,.43362081,.43204278
36005013100,.56414092,.5674836,.5656836
36005013200,.50050497,.50388372,.50221682
36005013300,.58414882,.58759308,.58577788
36005013500,.55553848,.5589447,.55712736
36005013800,.55784935,.56143236,.55956274
36005014100,.55691147,.56019044,.55845988
36005014300,.57968807,.5831182,.58130634
36005014400,.57397044,.57749307,.57568848
36005014500,.43873659,.44191915,.44026011
36005014701,.43763971,.44090575,.43912166
36005014702,.48249543,.48594028,.48408157
36005014900,.43637925,.43976182,.43792522
36005015100,.36841485,.37143892,.369798
36005015200,.6074034,.61114562,.60942411
36005015300,.43918592,.44251004,.4407295
36005015500,.49773586,.50143552,.49954447
36005015700,.52810061,.53195703,.52997112
36005015800,.63346398,.63749564,.63563681
36005015900,.44815868,.45151287,.44981742
36005016000,.47500533,.4783951,.47665793
36005016100,.5500406,.55340791,.55163205
36005016200,.47634739,.47962248,.47792542
36005016300,.51982653,.52358878,.52160841
36005016400,.49733597,.50071096,.49900103
36005016500,.60456991,.60812795,.60620534
36005016600,.57721984,.58080965,.57912052
36005016700,.54851866,.55202222,.55013597
36005016900,.55120003,.55471575,.55285811
36005017100,.51455629,.51820129,.51624501
36005017300,.54228973,.54551971,.54377592
36005017500,.58451897,.58786446,.58604378
36005017701,.52660841,.52981067,.5280807
36005017702,.58832824,.59172559,.58989048
36005017901,.57854509,.5817852,.57998633
36005017902,.54046321,.5436762,.54193515
36005018101,.54020369,.54338789,.54161721
36005018102,.54462522,.54779589,.54605293
36005018301,.55158061,.55478811,.55301028
36005018302,.59319931,.59648633,.59472042
36005018400,.53293669,.53642994,.53471065
36005018500,.54752779,.5508666,.54910016
36005018900,.6091609,.6125356,.6107651
36005019300,.55560589,.55886567,.55707717
36005019400,.49226248,.49556249,.49384499
36005019500,.63775647,.64121443,.63943362
36005019700,.66346109,.66715956,.66519594
36005019900,.48980853,.49313635,.49128079
36005020000,.47077149,.47422892,.47245681
36005020100,.50120306,.50473762,.50288439
36005020200,.58972651,.59338963,.59155381
36005020400,.4925679,.49597883,.49422139
36005020501,.55856407,.56223476,.56027079
36005020502,.36305392,.36598453,.36444169
36005020601,.51614267,.51940191,.51769328
36005020900,.57125807,.57453489,.57272869
36005021001,.52320915,.52648568,.52468932
36005021002,.51965201,.52292085,.52112055
36005021100,.59396625,.59735632,.59548223
36005021200,.56279188,.56607091,.56428838
36005021301,.62656617,.63028646,.62826657
36005021302,.55341887,.55685192,.5549742
36005021501,.59143114,.59501028,.59310645
36005021502,.58867449,.59222114,.5902999
36005021601,.49900234,.50222141,.50050581
36005021602,.53912687,.54245216,.54066831
36005021700,.52607185,.5293563,.52753973
36005021800,.50931835,.51258981,.51084918
36005021900,.58643806,.58972609,.58794534
36005022000,.55748463,.56083536,.55902386
36005022101,.5866034,.58987594,.5880965
36005022102,.51953328,.52266967,.52091622
36005022200,.46527383,.46845719,.46671069
36005022300,.52663505,.52980638,.52803767
36005022401,.49663123,.49994242,.49813813
