i,res_change_p5,res_change_p95,res_change_mean
36005000100,-.2159729,-.18774414,-.20178223
36005000200,-.19256592,-.1741333,-.18273926
36005000400,-.40673828,-.37139893,-.38952637
36005001600,-.48986816,-.44873047,-.46990967
36005001900,.091339111,.10324097,.097839355
36005002000,-.41833496,-.39343262,-.40625
36005002300,.095336914,.10894775,.10177612
36005002400,-.044006348,-.029689789,-.036464691
36005002500,.11508179,.12731934,.12115479
36005002701,.052398682,.059570313,.056274414
36005002702,.16293335,.17877197,.17068481
36005002800,-.090759277,-.080993652,-.085998535
36005003100,.055480957,.065093994,.061233521
36005003300,.046112061,.052246094,.048919678
36005003500,.08380127,.093139648,.088195801
36005003700,-.0027389526,-.0018920898,-.0022888184
36005003800,-.10772705,-.091567993,-.099838257
36005003900,.10852051,.12023926,.11499023
36005004001,-.21105957,-.18232727,-.19787598
36005004100,.091674805,.10095215,.096740723
36005004200,-.45959473,-.42126465,-.4395752
36005004300,.12384033,.13848877,.1317749
36005004400,-.37188721,-.33789063,-.3536377
36005004600,-.24557495,-.21359253,-.22941589
36005004800,-.39544678,-.35552979,-.37426758
36005005001,-.43151855,-.39093018,-.40985107
36005005002,-.39532471,-.35754395,-.37249756
36005005100,-.23840332,-.21960449,-.22644043
36005005200,-.28112793,-.23971558,-.2605896
36005005300,-.5078125,-.44992065,-.48248291
36005005400,-.56396484,-.51544189,-.53881836
36005005600,-.17224121,-.15252686,-.16296387
36005005902,-.12026978,-.10842896,-.11367798
36005006000,-.22215271,-.18669128,-.20248413
36005006100,.12774658,.14117432,.13458252
36005006200,-.27148438,-.24945068,-.26043701
36005006300,.086853027,.095825195,.091003418
36005006400,-.2744751,-.25036621,-.26177979
36005006500,.13995361,.15356445,.14556885
36005006700,.078674316,.088012695,.083557129
36005006800,-.18673706,-.1645813,-.17526245
36005006900,.068664551,.076721191,.072937012
36005007000,-.38525391,-.34472656,-.36480713
36005007100,.064025879,.073547363,.068450928
36005007200,-.51300049,-.46130371,-.48736572
36005007300,.041381836,.047485352,.044525146
36005007400,-.36352539,-.32943726,-.34429932
36005007500,.010803223,.014587402,.012451172
36005007600,-.30529785,-.2779541,-.29144287
36005007700,.028945923,.03414917,.031433105
36005007800,-.74237061,-.69213867,-.71453857
36005007900,.032714844,.037963867,.03515625
36005008300,-.050598145,-.044433594,-.047241211
36005008400,-.21575928,-.19360352,-.2048645
36005008500,-.26074219,-.23651123,-.25189209
36005008600,-.42047119,-.37747192,-.39697266
36005008700,-.68908691,-.62695313,-.66339111
36005008900,-.57937622,-.50906372,-.54986572
36005009000,-.21905518,-.19470215,-.20751953
36005009200,-.12078857,-.10766602,-.11480713
36005009300,-.037841797,-.025756836,-.031860352
36005009600,-.22399902,-.19671631,-.20858765
36005009800,-.20483398,-.18609619,-.19561768
36005011000,-.010237694,-.0036261082,-.0066070557
36005011502,-.46566772,-.4211731,-.44198608
36005011700,-.043518066,-.037384033,-.040252686
36005011800,-.26275635,-.23956299,-.25134277
36005011900,-.11077881,-.10095215,-.10571289
36005012101,-.11935425,-.10806274,-.11404419
36005012102,-.038742065,-.032440186,-.035385132
36005012300,-.18200684,-.16165161,-.17141724
36005012500,-.080078125,-.071075439,-.075378418
36005012701,.015319824,.018371582,.016693115
36005012901,-.025115967,-.021331787,-.022949219
36005013000,-.23934937,-.2035675,-.21932983
36005013100,-.057922363,-.05078125,-.054443359
36005013200,-.43927002,-.40661621,-.42510986
36005013300,-.021057129,-.015991211,-.018798828
36005013500,-.097290039,-.085998535,-.092254639
36005013800,-.04196167,-.036712646,-.039154053
36005014100,-.070068359,-.061279297,-.065246582
36005014300,-.012985229,-.010292053,-.01171875
36005014400,-.070800781,-.061340332,-.066040039
36005014500,-.72723389,-.66101074,-.69091797
36005014701,-.71936035,-.6519165,-.68688965
36005014702,-.47912598,-.43615723,-.45758057
36005014900,-.59317017,-.52822876,-.5557251
36005015100,-1.1333618,-1.0157471,-1.0809937
36005015200,-.094299316,-.083007813,-.089141846
36005015300,-.50497437,-.4604187,-.48110962
36005015500,-.31298828,-.27844238,-.29690552
36005015700,-.35192871,-.31454468,-.33331299
36005015800,-.030944824,-.026321411,-.028564453
36005015900,-.35360718,-.30987549,-.33258057
36005016000,-.50610352,-.46038818,-.48339844
36005016100,-.20654297,-.18829346,-.19683838
36005016200,-.29937744,-.26992798,-.2850647
36005016300,-.070579529,-.051021576,-.060081482
36005016400,-.20440674,-.17459106,-.18830872
36005016500,.0033416748,.0054168701,.0042877197
36005016600,-.1758728,-.15588379,-.16647339
36005016700,-.12762451,-.1100769,-.11859131
36005016900,-.10678101,-.095336914,-.10061646
36005017100,-.062839508,-.045471191,-.05424881
36005017300,-.16436768,-.15112305,-.15716553
36005017500,-.030578613,-.024353027,-.027709961
36005017701,-.1661377,-.14605713,-.15609741
36005017702,.0020446777,.0056762695,.0037536621
36005017901,.0018920898,.0057983398,.0039672852
36005017902,-.10455322,-.091949463,-.097290039
36005018101,-.071777344,-.064422607,-.067932129
36005018102,-.14337158,-.12902832,-.13690186
36005018301,-.089599609,-.080688477,-.085021973
36005018302,.056396484,.063934326,.059967041
36005018400,-.41430664,-.37518311,-.39416504
36005018500,-.20251465,-.18597412,-.19464111
36005018900,.27752686,.29931641,.28771973
36005019300,-.067260742,-.060852051,-.063720703
36005019400,-.2824707,-.24798584,-.26437378
36005019500,.46795654,.51049805,.48730469
36005019700,.36920166,.39862061,.38275146
36005019900,-.5690918,-.52557373,-.54730225
36005020000,-.53948975,-.49542236,-.51574707
36005020100,-.359375,-.32452393,-.34075928
36005020200,-.068695068,-.05947876,-.064422607
36005020400,-.38970947,-.35305786,-.37072754
36005020501,-.17126465,-.15466309,-.16308594
36005020502,-.76217651,-.6842041,-.72512817
36005020601,-.2940979,-.26229858,-.27853394
36005020900,-.042114258,-.03729248,-.039428711
36005021001,-.69824219,-.65234375,-.67492676
36005021002,-.85668945,-.80773926,-.83325195
36005021100,.0045776367,.0096435547,.0070800781
36005021200,-.30401611,-.28094482,-.29229736
36005021301,.028259277,.034484863,.031417847
36005021302,-.13946533,-.12701416,-.13354492
36005021501,-.037719727,-.032409668,-.035064697
36005021502,-.045288086,-.037963867,-.04107666
36005021601,-.49261475,-.44525146,-.47027588
36005021602,-.56835938,-.52069092,-.54296875
36005021700,-.18463135,-.16604614,-.17559814
36005021800,-.58721924,-.54162598,-.56488037
36005021900,.00021362305,.0017242432,.00094604492
36005022000,-.082168579,-.070343018,-.076446533
36005022101,.031402588,.035644531,.033111572
36005022102,-.1965332,-.1776123,-.18737793
36005022200,-.51525879,-.46429443,-.48928833
36005022300,-.16107178,-.14520264,-.15148926
36005022401,-.31384277,-.2789917,-.29800415
36005022403,-.21673584,-.19598389,-.20516968
36005022404,-.43023682,-.38867188,-.40808105
36005022500,-.68157959,-.63226318,-.65740967
36005022701,-.71228027,-.64849854,-.67773438
36005022702,-.20993042,-.18386841,-.1973877
36005022703,-.42987061,-.37252808,-.40563965
36005022800,-1.4830322,-1.3731079,-1.428833
36005022901,-.83129883,-.76293945,-.7979126
36005022902,-.70474243,-.63827515,-.66894531
36005023000,-.35110474,-.31030273,-.32876587
36005023100,-.12104797,-.1023407,-.11125183
36005023200,-.3586731,-.31719971,-.33865356
36005023301,-.14343262,-.12930298,-.13586426
36005023302,-.34710693,-.30871582,-.32922363
36005023501,-.18319702,-.16210938,-.17297363
36005023502,-.25500488,-.23086548,-.24472046
36005023600,-.26202393,-.23022461,-.24523926
36005023702,-.1725769,-.14009094,-.15541077
36005023703,-.44506836,-.40313721,-.42663574
36005023704,-.25927734,-.22866821,-.24411011
36005023800,-.49609375,-.44125366,-.46588135
36005023900,-.55700684,-.51239014,-.53674316
36005024000,-.33184814,-.29974365,-.31536865
36005024100,-.18011475,-.16149902,-.17114258
36005024300,.06048584,.068237305,.064025879
36005024400,-.14401245,-.12823486,-.13464355
36005024501,.081634521,.091003418,.086303711
36005024502,-.11715698,-.10290527,-.10968018
36005024600,-.11523438,-.099243164,-.10644531
36005024700,.024749756,.028778076,.026733398
36005024800,-.19342041,-.17205811,-.18240356
36005024900,-.070926666,-.052062988,-.059799194
36005025000,-.13626099,-.12060547,-.13012695
36005025100,-.60229492,-.55523682,-.57592773
36005025200,-.36282349,-.32177734,-.34008789
36005025300,-.33099365,-.30505371,-.31848145
36005025400,-.21652222,-.18592834,-.2013855
36005025500,.072753906,.081787109,.077392578
36005025600,-.21008301,-.18597412,-.19775391
36005025700,-.13821411,-.11909485,-.12852478
36005026100,-.10443115,-.089279175,-.096588135
36005026300,-.21893311,-.20043945,-.20910645
36005026400,-.32128906,-.29406738,-.30773926
36005026500,-.18066406,-.16564941,-.17401123
36005026601,-.18774414,-.16638184,-.17788696
36005026602,-.43798828,-.41021729,-.42388916
36005026701,-.14990234,-.13577271,-.14395142
36005026702,-.33795166,-.30786133,-.32421875
36005026900,-.35345459,-.32107544,-.33575439
36005027300,-.44812012,-.41381836,-.43054199
36005027401,-.44744873,-.41333008,-.43035889
36005027402,-.29763794,-.26800537,-.28286743
36005027600,-.033397675,-.02255249,-.027965546
36005027700,-.23754883,-.21734619,-.22814941
36005027900,-.40917969,-.37640381,-.39251709
36005028100,-.064758301,-.057556152,-.060668945
36005028300,-.10983276,-.097015381,-.10360718
36005028400,-.050048828,-.040245056,-.045562744
36005028500,-.087585449,-.077209473,-.082427979
36005028600,-.14927673,-.12649536,-.13737488
36005028700,-.21755981,-.19869995,-.20828247
36005028800,-.36291504,-.31954956,-.33990479
36005028900,-.24273682,-.22015381,-.2300415
36005029301,-.078369141,-.067184448,-.072387695
36005029302,.030639648,.038452148,.034545898
36005029500,-.30578613,-.27947998,-.29119873
36005029600,-.73455811,-.6519165,-.68826294
36005029700,-.27801514,-.25134277,-.26397705
36005030000,-.76831055,-.71252441,-.74084473
36005030100,-.27883911,-.23703003,-.25973511
36005030200,-.63293457,-.59057617,-.60998535
36005030701,-.37005615,-.33917236,-.35522461
36005030900,-.22674561,-.20150757,-.21414185
36005031000,-.55474854,-.49365234,-.52526855
36005031200,-.25064087,-.21331787,-.23210144
36005031400,-.20684814,-.17927551,-.1914978
36005031600,-.16885376,-.14807129,-.15866089
