j,wage_change_p5,wage_change_p95,wage_change_mean
36005000200,.3997311,.40060741,.40010777
36005000400,.39893666,.39979669,.39929718
36005001600,.39883018,.39969808,.39920095
36005001900,.40261388,.40348202,.40298852
36005002000,.39935094,.4002133,.39971238
36005002300,.40317696,.40405256,.40355432
36005002400,.40403974,.40490937,.4044272
36005002500,.40293545,.40380347,.4033097
36005002701,.40270206,.40356219,.40307838
36005002702,.40243655,.40329939,.40281212
36005002800,.40047091,.40133148,.40083867
36005003100,.40085626,.4017249,.40123132
36005003300,.40110123,.40196383,.40148067
36005003500,.40096295,.40183198,.4013375
36005003700,.40088052,.40175205,.40125698
36005003800,.39910612,.39997137,.39950532
36005003900,.40158218,.40244573,.40195847
36005004001,.40143216,.40229979,.40180242
36005004100,.4008337,.40169793,.40120089
36005004200,.40021777,.40108049,.40058821
36005004300,.40096319,.40182298,.40133211
36005004400,.40033102,.40119821,.40070289
36005004600,.39989948,.40075856,.40026641
36005004800,.39987087,.40073022,.40023792
36005005001,.39985418,.40071693,.40022707
36005005002,.40048558,.40134722,.40085369
36005005100,.4016414,.40250325,.40200648
36005005200,.39839852,.39925063,.39877489
36005005300,.39730477,.39816409,.39767158
36005005400,.40056911,.40143526,.40093151
36005005600,.39977616,.40064448,.40014884
36005005902,.40010887,.40096128,.4004699
36005006000,.39912039,.39998972,.3994962
36005006100,.40143505,.40229926,.40180552
36005006200,.40000919,.40086755,.40037405
36005006300,.4005563,.40142077,.40092289
36005006400,.39994267,.40080562,.40030903
36005006500,.40098804,.40185428,.40136054
36005006700,.40067011,.4015345,.40104723
36005006800,.39987826,.40074933,.40025234
36005006900,.39987421,.40074384,.40024519
36005007000,.40088177,.40174478,.40124926
36005007100,.40051946,.40138465,.40089226
36005007200,.40158147,.40244734,.40194619
36005007300,.40035608,.40122697,.4007214
36005007400,.39988387,.40074295,.40024143
36005007500,.40030098,.4011662,.40067226
36005007600,.40105724,.40192115,.40143013
36005007700,.40001577,.40088099,.40039152
36005007800,.40300012,.40387172,.40337414
36005007900,.40023535,.40110141,.40060538
36005008300,.40040702,.40127444,.40077716
36005008400,.40132809,.40219107,.40170115
36005008500,.39843464,.39929324,.39879614
36005008600,.39997196,.40083033,.40034017
36005008700,.39905626,.39991653,.39942089
36005008900,.39793271,.39878619,.39829764
36005009000,.40137446,.40222219,.40174064
36005009200,.40387088,.40473366,.40425315
36005009300,.39711043,.39796704,.39748299
36005009600,.40272582,.4035854,.403108
36005009800,.40348312,.40434551,.403855
36005011000,.40546846,.4063327,.40584189
36005011502,.39870375,.39956829,.39907712
36005011700,.39825827,.39910716,.39862353
36005011800,.39905074,.39990944,.39941376
36005011900,.39979148,.4006502,.40016377
36005012101,.39880258,.39966428,.39916903
36005012102,.39945048,.40031397,.39981943
36005012300,.39893252,.39979523,.39929897
36005012500,.39869797,.39955401,.39905781
36005012701,.39947575,.40034586,.39984792
36005012901,.39932412,.40019023,.39969367
36005013000,.4015221,.40237808,.40188038
36005013100,.39936459,.4002254,.39973855
36005013200,.40190524,.40276867,.40227139
36005013300,.39955333,.40041834,.3999173
36005013500,.3990027,.39985502,.39936155
36005013800,.39987418,.40071964,.40023327
36005014100,.39945859,.40032071,.39982614
36005014300,.39926511,.4001224,.39962906
36005014400,.40267801,.40354168,.40305036
36005014500,.3981666,.39901513,.39852989
36005014701,.39738518,.39823133,.39775532
36005014702,.39730486,.39814895,.39766204
36005014900,.39788109,.39873096,.3982501
36005015100,.39799982,.39884984,.39837068
36005015200,.40429199,.40515441,.40466991
36005015300,.39678758,.39763606,.39715749
36005015500,.39857665,.39943987,.39895207
36005015700,.39832371,.39918622,.39869791
36005015800,.40228522,.40314823,.40265155
36005015900,.397475,.39833337,.39784241
36005016000,.40094107,.40179962,.4013114
36005016100,.39924836,.40010595,.39961383
36005016200,.40280688,.40366644,.40317678
