j,slope,intercept,mse
36005001900,1.6420,-0.1801,5.2055
36005006100,1.5457,-0.3903,2.3004
36005006300,0.9070,0.0214,2.5487
36005009600,0.8248,0.0517,3.6441
36005028300,1.6136,-0.2338,1.5529
36005039500,1.1889,-0.1455,3.3650
36005046201,0.8014,0.1163,6.3797
36047002100,1.5470,-0.3208,8.0130
36047003300,0.9519,0.0412,5.5399
36047004300,0.6883,0.2773,2.0017
36047004900,1.2063,-0.1440,1.9945
36047005300,2.5988,-0.6077,6.6106
36047005800,0.7207,0.0628,1.1973
36047015900,0.8173,0.0964,2.4310
36047019400,0.4494,0.1246,2.5405
36047022200,1.0563,-0.0165,2.5101
36047022600,1.6376,-0.1281,2.8462
36047036200,1.4517,-0.1048,1.4120
36047044900,2.2664,-0.6350,8.5256
36047047800,0.1847,0.1967,1.9555
36047048500,0.5652,0.1023,3.2658
36047052900,0.6443,0.0721,1.2528
36047053400,-0.0420,0.4525,2.8391
36047054300,1.7046,-0.1533,3.4614
36047069800,0.5874,0.0873,1.3724
36061000900,0.5517,0.6648,37.8390
36061001300,0.9619,0.0908,35.5167
36061001502,0.9415,0.0572,19.7220
36061003001,0.7979,0.0419,2.1641
36061003700,1.0306,-0.0308,27.9226
36061003900,1.1292,-0.1025,37.3045
36061004100,0.8493,0.0474,6.8202
36061004200,0.8907,0.0207,1.4426
36061004300,0.7793,0.3081,11.5527
36061004700,0.2605,0.2304,6.0513
36061004900,0.7851,0.0936,10.6192
36061005200,1.1487,-0.1723,29.7998
36061005502,1.8805,-0.1932,6.4516
36061005600,0.9887,0.0102,17.7184
36061005800,1.3759,-0.4699,25.1528
36061006100,0.6357,0.1454,7.9283
36061006400,1.6520,-0.3103,3.6549
36061006500,0.3781,0.2727,11.1390
36061006600,0.6445,0.0836,3.1003
36061007600,0.8321,0.3764,41.0318
36061007800,1.0195,-0.0579,25.8858
36061007900,0.8461,0.0360,6.1060
36061008300,1.1518,-0.1886,12.7544
36061009800,1.4385,-0.1975,9.5664
36061009900,1.1539,-0.6433,31.0685
36061011202,1.1441,-0.1729,20.4958
36061011500,0.8560,0.1420,9.3309
36061011600,0.7415,0.6889,75.8193
36061011800,1.3215,-0.0716,3.0180
36061012000,0.7578,0.0767,3.6219
36061012100,0.4069,1.0607,14.9434
36061012500,0.1834,1.2299,63.0259
36061012900,1.2362,-0.4610,14.4312
36061013500,1.0199,-0.0100,6.3866
36061013600,1.2411,-0.0558,3.2296
36061014900,1.0027,-0.0012,7.1550
36061015400,0.3190,0.3238,3.0938
36061015700,0.5046,0.1511,4.0036
36061016800,0.7497,0.1906,18.3743
36061021303,1.6635,-0.1309,0.9187
36061022200,0.8324,0.0341,2.4570
36081000100,0.9921,0.0039,7.5650
36081000700,1.3183,-0.0996,3.7905
36081001900,0.8099,0.2588,13.9175
36081017100,0.0326,0.2244,4.7817
36081017900,0.2972,1.2182,12.1230
36081020500,0.2262,0.1770,3.3795
36081029700,0.8496,0.0791,2.1266
36081030600,0.2418,0.1537,2.0978
36081032000,0.5416,0.1433,3.7377
36081038302,0.6063,0.2674,2.3792
36081046200,-0.0756,0.2136,3.0883
36081053900,0.6529,0.1213,1.4595
36081068300,-0.9067,0.3937,4.2250
36081069300,0.4228,0.2039,1.8113
36081087100,1.1183,-0.0365,6.7805
36081155102,0.0998,0.5505,6.0243
36085029102,0.5742,0.1132,4.6286
