Tract,Criterion,CSP,CBM,CBM_deltainf
36005001900,MAE , 6.260 , 6.268 , 6.112 
36005001900, MSE , 89.51 , 90.82 , 89.98  
36005006100,MAE , 6.606 , 5.051 , 6.315 
36005006100, MSE , 100.8 , 61.76 , 127.4  
36005006300,MAE , 4.684 , 3.989 , 4.294 
36005006300, MSE , 42.61 , 30.82 , 34.46  
36005009600,MAE , 4.924 , 4.935 , 4.870 
36005009600, MSE , 53.11 , 53.42 , 52.76  
36005028300,MAE , 4.837 , 3.842 , 4.077 
36005028300, MSE , 77.20 , 41.86 , 66.91  
36005039500,MAE , 7.349 , 5.476 , 6.101 
36005039500, MSE , 224.6 , 117.2 , 179  
36005046201,MAE , 7.959 , 8.468 , 7.955 
36005046201, MSE , 182.3 , 199.2 , 192.7  
36047002100,MAE , 7.863 , 7.787 , 7.679 
36047002100, MSE , 128.3 , 149.2 , 148.5  
36047003300,MAE , 7.077 , 5.262 , 5.907 
36047003300, MSE , 120.6 , 65.84 , 76.65  
36047004300,MAE , 9.462 , 4.220 , 7.929 
36047004300, MSE , 300.9 , 36.18 , 117.3  
36047004900,MAE , 6.378 , 5.115 , 6.447 
36047004900, MSE , 139.5 , 71.13 , 130.3  
36047005300,MAE , 6.217 , 6.044 , 5.969 
36047005300, MSE , 86.71 , 86.93 , 87.56  
36047005800,MAE , 3.649 , 2.805 , 3.176 
36047005800, MSE , 76.72 , 21.12 , 26.71  
36047015900,MAE , 5.413 , 3.923 , 5 
36047015900, MSE , 143.9 , 40.94 , 85.86  
36047019400,MAE , 3.969 , 4.068 , 3.927 
36047019400, MSE , 31.97 , 34.42 , 31.67  
36047022200,MAE , 4.463 , 4.299 , 3.846 
36047022200, MSE , 153.4 , 154.1 , 180.5  
36047022600,MAE , 3.060 , 3.977 , 3.463 
36047022600, MSE , 92.69 , 322.3 , 320.3  
36047036200,MAE , 2.635 , 2.569 , 2.455 
36047036200, MSE , 29.68 , 24.22 , 28.05  
36047044900,MAE , 8.937 , 9.032 , 8.962 
36047044900, MSE , 214 , 239.5 , 240  
36047047800,MAE , 3.628 , 3.005 , 3.003 
36047047800, MSE , 106.1 , 21.07 , 24.36  
36047048500,MAE , 4.891 , 4.943 , 4.899 
36047048500, MSE , 55.10 , 61.84 , 62.66  
36047052900,MAE , 2.744 , 2.912 , 2.765 
36047052900, MSE , 35.10 , 33.31 , 37.83  
36047053400,MAE , 7.291 , 4.800 , 5.700 
36047053400, MSE , 414.6 , 94.26 , 128  
36047054300,MAE , 4.904 , 4.588 , 4.635 
36047054300, MSE , 61.86 , 61.89 , 64.16  
36047069800,MAE , 2.833 , 2.816 , 2.886 
36047069800, MSE , 19.48 , 20.03 , 19.82  
36061000900,MAE , 19.72 , 19.26 , 19.29 
36061000900, MSE , 610.2 , 585.1 , 585.9  
36061001300,MAE , 17.07 , 16.61 , 16.70 
36061001300, MSE , 621 , 727.1 , 727.8  
36061001502,MAE , 13.39 , 12.74 , 12.75 
36061001502, MSE , 315.4 , 290.5 , 290  
36061003001,MAE , 3.565 , 3.131 , 3.310 
36061003001, MSE , 29.37 , 21.39 , 25.32  
36061003700,MAE , 15.08 , 15.67 , 15.55 
36061003700, MSE , 508.9 , 553.5 , 549.7  
36061003900,MAE , 11.14 , 11.95 , 11.88 
36061003900, MSE , 367.4 , 572.1 , 569.8  
36061004100,MAE , 6.019 , 5.452 , 5.587 
36061004100, MSE , 103.1 , 63.06 , 65.78  
36061004200,MAE , 3.960 , 3.372 , 3.585 
36061004200, MSE , 31.84 , 20.31 , 23.33  
36061004300,MAE , 9.725 , 10.02 , 9.519 
36061004300, MSE , 190.3 , 191.7 , 182.5  
36061004700,MAE , 6.823 , 6.019 , 6.292 
36061004700, MSE , 102.9 , 82.96 , 86.09  
36061004900,MAE , 8.750 , 8.473 , 8.501 
36061004900, MSE , 201.6 , 182.6 , 185.8  
36061005200,MAE , 15.83 , 16.38 , 16.35 
36061005200, MSE , 539.4 , 535.6 , 534.4  
36061005502,MAE , 6.214 , 6.121 , 6.129 
36061005502, MSE , 105.6 , 111.5 , 112.3  
36061005600,MAE , 12.09 , 11.31 , 11.33 
36061005600, MSE , 287.9 , 261.1 , 262.1  
36061005800,MAE , 14.98 , 16.03 , 15.87 
36061005800, MSE , 504.3 , 551.3 , 550.3  
