Tract,Coefficient,CSP,CBM,CBM_deltainf
36005001900,Predicted change , 1.332 , 1.615 , 1.904 
36005001900,Constant , -1.032 , -1.912 , -1.290 
36005006100,Predicted change , 0.769 , 1.343 , 2.389 
36005006100,Constant , 1.834 , -2.717 , 2.153 
36005006300,Predicted change , 0.0545 , 0.962 , 0.804 
36005006300,Constant , 2.405 , 0.0974 , 1.263 
36005009600,Predicted change , 0.805 , 0.717 , 0.763 
36005009600,Constant , 0.638 , 0.926 , 1.397 
36005028300,Predicted change , 0.747 , 1.334 , 1.887 
36005028300,Constant , 1.067 , -1.410 , 1.319 
36005039500,Predicted change , 0.558 , 1.275 , 1.636 
36005039500,Constant , 3.767 , -2.348 , 3.256 
36005046201,Predicted change , 0.751 , 0.749 , 0.778 
36005046201,Constant , 1.612 , 1.631 , 2.384 
36047002100,Predicted change , 1.358 , 1.488 , 1.664 
36047002100,Constant , -2.329 , -3.170 , -2.106 
36047003300,Predicted change , 0.574 , 1.114 , 1.211 
36047003300,Constant , 4.050 , -1.084 , 1.518 
36047004300,Predicted change , 0.191 , 0.850 , 1.056 
36047004300,Constant , 7.976 , 1.482 , 7.183 
36047004900,Predicted change , 0.502 , 1.301 , 2.757 
36047004900,Constant , 3.850 , -2.326 , 3.425 
36047005300,Predicted change , 0.979 , 1.245 , 1.552 
36047005300,Constant , 0.0898 , -1.033 , -0.460 
36047005800,Predicted change , 0.0119 , 0.422 , 0.157 
36047005800,Constant , 2.463 , 1.440 , 2.342 
36047015900,Predicted change , 0.421 , 1.562 , 2.273 
36047015900,Constant , 3.382 , -3.285 , 1.500 
36047019400,Predicted change , 0.477 , 0.380 , 0.547 
36047019400,Constant , 1.311 , 1.556 , 1.771 
36047022200,Predicted change , 0.721 , 2.312 , 5.048 
36047022200,Constant , 0.908 , -4.266 , -0.597 
36047022600,Predicted change , 1.581 , 2.945 , 7.426 
36047022600,Constant , -1.293 , -4.328 , -3.529 
36047036200,Predicted change , 0.607 , 1.165 , 2.043 
36047036200,Constant , 1.010 , -0.424 , 0.870 
36047044900,Predicted change , 1.591 , 1.640 , 1.997 
36047044900,Constant , -3.283 , -3.555 , -2.517 
36047047800,Predicted change , 0.149 , 0.876 , 1.288 
36047047800,Constant , 2.273 , 0.330 , 1.385 
36047048500,Predicted change , 0.924 , 0.884 , 1.325 
36047048500,Constant , 0.197 , 0.303 , 0.819 
36047052900,Predicted change , 0.511 , 0.965 , 3.510 
36047052900,Constant , 1.099 , 0.0778 , 1.019 
36047053400,Predicted change , -0.0842 , 0.819 , 0.685 
36047053400,Constant , 5.216 , 0.873 , 3.634 
36047054300,Predicted change , 1.142 , 1.308 , 1.880 
36047054300,Constant , -0.343 , -0.743 , -0.194 
36047069800,Predicted change , 0.557 , 0.532 , 0.574 
36047069800,Constant , 1.038 , 1.096 , 1.588 
36061000900,Predicted change , 0.303 , 0.377 , 0.375 
36061000900,Constant , 11.44 , 10.23 , 10.31 
36061001300,Predicted change , 1.032 , 1.197 , 1.199 
36061001300,Constant , -0.832 , -5.204 , -4.796 
36061001502,Predicted change , 0.529 , 0.737 , 0.745 
36061001502,Constant , 5.100 , 2.848 , 2.983 
36061003001,Predicted change , 0.398 , 1.291 , 1.448 
36061003001,Constant , 1.383 , -0.668 , 0.993 
36061003700,Predicted change , 1.117 , 1.171 , 1.212 
36061003700,Constant , -1.306 , -1.904 , -1.934 
36061003900,Predicted change , 1.226 , 1.455 , 1.559 
36061003900,Constant , -1.985 , -3.995 , -3.492 
36061004100,Predicted change , 0.173 , 1.185 , 1.366 
36061004100,Constant , 2.880 , -0.644 , 0.465 
36061004200,Predicted change , -0.370 , 0.637 , -0.0180 
36061004200,Constant , 2.873 , 0.761 , 2.113 
36061004300,Predicted change , 0.734 , 1.169 , 1.296 
36061004300,Constant , 4.119 , -2.614 , -0.871 
36061004700,Predicted change , -0.0278 , 0.728 , 0.599 
36061004700,Constant , 3.547 , 0.938 , 2.105 
36061004900,Predicted change , 0.443 , 1.227 , 1.160 
36061004900,Constant , 2.686 , -1.097 , 0.144 
36061005200,Predicted change , 0.887 , 1.353 , 1.360 
36061005200,Constant , 1.453 , -4.533 , -4.083 
36061005502,Predicted change , 1.454 , 1.972 , 2.120 
36061005502,Constant , -1.103 , -2.362 , -1.025 
36061005600,Predicted change , 0.836 , 1.382 , 1.387 
36061005600,Constant , 1.634 , -3.816 , -3.052 
36061005800,Predicted change , 1.204 , 1.674 , 1.677 
36061005800,Constant , -2.821 , -9.333 , -8.382 
36061006100,Predicted change , -0.00982 , 0.698 , 0.623 
36061006100,Constant , 4.464 , 1.335 , 2.258 
36061006400,Predicted change , 0.534 , 1.505 , 1.806 
36061006400,Constant , 2.456 , -2.660 , 0.573 
36061006500,Predicted change , 0.574 , 1.822 , 1.782 
36061006500,Constant , 2.071 , -3.992 , -2.166 
36061006600,Predicted change , 0.201 , 0.881 , 0.748 
36061006600,Constant , 2.081 , 0.311 , 1.447 
36061007600,Predicted change , 1.135 , 0.896 , 0.898 
36061007600,Constant , -3.358 , 2.589 , 2.793 
36061007800,Predicted change , 0.283 , 0.745 , 0.660 
36061007800,Constant , 23.56 , 8.393 , 19.61 
36061007900,Predicted change , 0.269 , 0.693 , 0.743 
36061007900,Constant , 1.893 , 0.795 , 1.310 
36061008300,Predicted change , 1.002 , 1.647 , 1.727 
36061008300,Constant , -0.0267 , -8.912 , -5.901 
36061009800,Predicted change , 0.766 , 1.263 , 1.237 
36061009800,Constant , 1.169 , -1.311 , -0.0184 
36061009900,Predicted change , 0.983 , 1.290 , 1.332 
36061009900,Constant , 0.784 , -13.42 , -9.933 
36061011202,Predicted change , 1.107 , 1.685 , 1.736 
36061011202,Constant , -1.425 , -9.099 , -8.090 
36061011500,Predicted change , 0.457 , 0.825 , 0.812 
36061011500,Constant , 5.927 , 1.909 , 3.515 
36061011600,Predicted change , 0.564 , 1.011 , 1.050 
36061011600,Constant , 12.89 , -0.315 , 0.941 
36061011800,Predicted change , 0.517 , 1.080 , 1.069 
36061011800,Constant , 1.191 , -0.196 , 0.818 
36061012000,Predicted change , 0.00810 , 0.683 , 0.498 
36061012000,Constant , 3.479 , 1.112 , 2.319 
36061012100,Predicted change , 0.241 , 0.714 , 0.652 
36061012100,Constant , 15.04 , 5.670 , 9.664 
36061012500,Predicted change , 0.145 , 0.713 , 0.707 
36061012500,Constant , 14.26 , 4.785 , 5.103 
36061012900,Predicted change , 0.804 , 1.390 , 1.436 
36061012900,Constant , 4.243 , -8.436 , -3.853 
36061013500,Predicted change , 0.571 , 0.968 , 0.925 
36061013500,Constant , 2.397 , 0.176 , 1.547 
36061013600,Predicted change , 0.681 , 1.363 , 1.169 
36061013600,Constant , 0.819 , -0.930 , 0.521 
36061014900,Predicted change , 0.694 , 1.562 , 1.517 
36061014900,Constant , 1.509 , -2.770 , -1.129 
36061015400,Predicted change , -0.0717 , 0.163 , -0.0579 
36061015400,Constant , 5.644 , 4.407 , 5.434 
36061015700,Predicted change , 0.207 , 1.021 , 0.733 
36061015700,Constant , 2.682 , -0.0711 , 1.836 
36061016800,Predicted change , 0.310 , 0.805 , 0.775 
36061016800,Constant , 5.821 , 1.641 , 2.331 
36061021303,Predicted change , 0.343 , 0.942 , 1.421 
36061021303,Constant , 1.436 , 0.126 , 1.411 
36061022200,Predicted change , 0.629 , 0.952 , 0.935 
36061022200,Constant , 0.838 , 0.109 , 1.018 
36081000100,Predicted change , 0.487 , 0.657 , 0.651 
36081000100,Constant , 2.795 , 1.870 , 2.667 
36081000700,Predicted change , -0.0293 , 0.761 , 0.315 
36081000700,Constant , 3.568 , 0.828 , 2.829 
36081001900,Predicted change , 0.357 , 0.824 , 0.798 
36081001900,Constant , 9.699 , 2.648 , 4.216 
36081017100,Predicted change , -1.089 , 0.0561 , -0.714 
36081017100,Constant , 5.368 , 2.425 , 3.875 
36081017900,Predicted change , 0.0419 , 0.139 , 0.0879 
36081017900,Constant , 18.40 , 16.52 , 17.84 
36081020500,Predicted change , -0.0816 , 0.287 , 0.111 
36081020500,Constant , 2.740 , 1.806 , 2.346 
36081029700,Predicted change , 0.430 , 0.675 , 0.922 
36081029700,Constant , 3.321 , 1.894 , 3.632 
36081030600,Predicted change , 0.547 , 0.473 , 0.463 
36081030600,Constant , 1.018 , 1.184 , 1.564 
36081032000,Predicted change , 0.924 , 0.729 , 0.786 
36081032000,Constant , 0.265 , 0.938 , 1.389 
36081038302,Predicted change , 0.300 , 0.469 , 0.578 
36081038302,Constant , 5.264 , 3.993 , 5.900 
36081046200,Predicted change , -0.0703 , 0.104 , -0.0455 
36081046200,Constant , 2.355 , 1.972 , 2.255 
36081053900,Predicted change , 0.117 , 0.438 , 0.394 
36081053900,Constant , 3.418 , 2.176 , 3.445 
36081068300,Predicted change , 0.00878 , 0.177 , 0.00967 
36081068300,Constant , 2.267 , 1.881 , 2.270 
36081069300,Predicted change , 0.642 , 0.580 , 1.321 
36081069300,Constant , 1.403 , 1.644 , 2.314 
36081087100,Predicted change , 1.038 , 1.464 , 1.559 
36081087100,Constant , -0.130 , -1.588 , -0.198 
36081155102,Predicted change , 0.274 , 0.277 , 0.255 
36081155102,Constant , 4.922 , 4.901 , 5.377 
36085029102,Predicted change , 1.095 , 0.461 , 0.460 
36085029102,Constant , -0.280 , 1.587 , 1.746 
